DCLR_RCPT_NO,DCLR_DT,DCLR_YMD,DCLR_TM,DCLR_YR,DCLR_MM,DCLR_DAY,DCLR_HR,DCLR_MN,DCLR_DOW,SEASN_NM,QTR_NO,CTPV_NM,SGG_NM,EMD_NM,CTY_FRMVL_SE_NM,EMD_SE_NM,RCPT_END_DT,RCPT_END_YMD,RCPT_END_TM,OTR_CTPV_DCLR_YN,DCLR_PSTN_LOT,DCLR_PSTN_LAT,DSPT_DRTV_DT,GRNDS_ARVL_DT,HSPTL_ARVL_DT,CBK_DT,SITTN_END_DT,FRSTN_NM,CNTR_NM,CLMTY_CTPV_NM,CLMTY_SGG_NM,CLMTY_EMD_NM,LOT,LAT
XO3103704423,20230105163303,20230105,163303,2023,1,5,16,33,목요일,겨울,1,울산광역시,동구,화정동,도시,동,20230105163354,20230105,163354,N,129.4277,35.485,,20230105163932,20230105165724,20230105171606,20230105171619,동부소방서,화암119안전센터,울산광역시,동구,방어동,129.4274464238,35.4855810242
XO4115321745,20230105152915,20230105,152915,2023,1,5,15,29,목요일,겨울,1,경기도,,,,,20230105153043,20230105,153043,N,127.1558,37.4334,,20230105153949,,,20230105171611,성남소방서,상대원119안전센터,경기도,성남시 중원구,하대원동,127.1558353752,37.4336515698
XO4711025732,20230105155953,20230105,155953,2023,1,5,15,59,목요일,겨울,1,경상북도,예천군,개포면,농촌,면,20230105160101,20230105,160101,N,128.3549,36.6081,,20230105161144,20230105163535,20230105171556,20230105171604,예천소방서,지보119안전센터,경상북도,예천군,개포면,128.3549019996,36.6081080002
XO4354759210,20230105163651,20230105,163651,2023,1,5,16,36,목요일,겨울,1,충청북도,,,,,20230105163813,20230105,163813,N,0,0,,20230105170054,,20230105170121,20230105171602,동부소방서,북문안전센터,충청북도,청주시 상당구,북문로2가,127.4900688589,36.6432867196
XO4711025757,20230105161053,20230105,161053,2023,1,5,16,10,목요일,겨울,1,경상북도,구미시,해평면,농촌,면,20230105161118,20230105,161118,N,0,0,,,,20230105171424,20230105171547,구미소방서,해평119안전센터,경상북도,구미시,해평면,128.3910993944,36.1988932999
XO4115321411,20230105134820,20230105,134820,2023,1,5,13,48,목요일,겨울,1,경기도,,,,,20230105135209,20230105,135209,N,127.1068,37.6391,,20230105140800,20230105142537,20230105144227,20230105144458,화성소방서,목동119안전센터,경기도,화성시,영천동,127.104106745,37.2113943632
XO4411731462,20230105135545,20230105,135545,2023,1,5,13,55,목요일,겨울,1,충청남도,서천군,장항읍,농촌,읍,20230105135611,20230105,135611,N,0,0,,,,20230105144410,20230105144437,서천소방서,장항119안전센터,충청남도,서천군,장항읍,126.6828975464,36.0134953887
XO4208254063,20230105140302,20230105,140302,2023,1,5,14,3,목요일,겨울,1,강원도,,,,,20230105140441,20230105,140441,N,127.9367,37.3645,,20230105144352,20230105150527,20230105145216,20230105165049,원주소방서,우산119안전센터,강원도,원주시,호저면,127.8867132649,37.4661343013
XO4208254103,20230105142327,20230105,142327,2023,1,5,14,23,목요일,겨울,1,강원도,원주시,봉산동,도시,동,20230105142433,20230105,142433,N,0,0,,20230105144352,20230105150527,20230105145216,20230105165049,원주소방서,우산119안전센터,강원도,원주시,호저면,127.8867132649,37.4661343013
XO4208254114,20230105142912,20230105,142912,2023,1,5,14,29,목요일,겨울,1,강원도,원주시,봉산동,도시,동,20230105143149,20230105,143149,N,0,0,,20230105144352,20230105150527,20230105145216,20230105165049,원주소방서,우산119안전센터,강원도,원주시,호저면,127.8867132649,37.4661343013
XO4208254129,20230105144413,20230105,144413,2023,1,5,14,44,목요일,겨울,1,강원도,원주시,봉산동,도시,동,20230105144503,20230105,144503,N,0,0,,20230105144352,20230105150527,20230105145216,20230105165049,원주소방서,우산119안전센터,강원도,원주시,호저면,127.8867132649,37.4661343013
XO4208254135,20230105144804,20230105,144804,2023,1,5,14,48,목요일,겨울,1,강원도,원주시,호저면,농촌,면,20230105145049,20230105,145049,N,127.8885,37.4517,,20230105144352,20230105150527,20230105145216,20230105165049,원주소방서,우산119안전센터,강원도,원주시,호저면,127.8867132649,37.4661343013
XO4354759450,20230105213400,20230105,213400,2023,1,5,21,34,목요일,겨울,1,충청북도,음성군,대소면,농촌,면,20230105213533,20230105,213533,N,127.4976,36.9653,,20230105214448,20230105221241,20230106002957,20230106003410,음성소방서,대소안전센터,충청북도,음성군,대소면,127.4979028254,36.9652142222
XO4354759514,20230105225143,20230105,225143,2023,1,5,22,51,목요일,겨울,1,충청북도,음성군,대소면,농촌,면,20230105225221,20230105,225221,N,127.4863,36.9683,,20230105214448,20230105221241,20230106002957,20230106003410,음성소방서,대소안전센터,충청북도,음성군,대소면,127.4979028254,36.9652142222
XO4411731683,20230105153242,20230105,153242,2023,1,5,15,32,목요일,겨울,1,충청남도,금산군,금산읍,농촌,읍,20230105153259,20230105,153259,N,0,0,,,,20230105175450,20230105175658,금산소방서,금산119안전센터,충청남도,금산군,금산읍,127.4801840963,36.0999990529
XO4809644429,20230105133139,20230105,133139,2023,1,5,13,31,목요일,겨울,1,경상남도,의령군,의령읍,농촌,읍,20230105133200,20230105,133200,N,128.2538,35.3203,,,,20230105175644,20230105175646,의령소방서,의령119안전센터,경상남도,의령군,의령읍,128.2537994379,35.3203201292
XO4809644706,20230105164320,20230105,164320,2023,1,5,16,43,목요일,겨울,1,경상남도,창녕군,대지면,농촌,면,20230105164332,20230105,164332,N,0,0,,,,20230105175548,20230105175642,창녕소방서,창녕119안전센터,경상남도,창녕군,대지면,128.4798473256,35.5510692037
XO4711025812,20230105164746,20230105,164746,2023,1,5,16,47,목요일,겨울,1,경상북도,영주시,순흥면,농촌,면,20230105164758,20230105,164758,N,0,0,,,,20230105171240,20230105171537,영주소방서,풍기119안전센터,경상북도,영주시,순흥면,128.5760810829,36.916536872
XO2622794333,20230105192141,20230105,192141,2023,1,5,19,21,목요일,겨울,1,부산광역시,,,,,20230105192154,20230105,192154,N,129.0953,35.2169,20230105192154,20230105192918,,20230105194605,20230105195653,금정소방서,서동119안전센터,부산광역시,금정구,서동,129.0952999998,35.2168700001
XO4115322635,20230105201603,20230105,201603,2023,1,5,20,16,목요일,겨울,1,경기도,시흥시,대야동,도시,동,20230105202234,20230105,202234,N,126.7901,37.4435,,20230105202916,,20230105204827,20230105220202,시흥소방서,은행119안전센터,경기도,시흥시,대야동,126.7875231329,37.4466571267
